N,L,R,D,linear_time,cfmindex_time,2fmindex_time,linear_acc,cfmindex_acc,2fmindex_acc
100000,16,3,0,22218,423,379,100.0,100.0,99.98
100000,32,6,0,21812,514,425,99.98,99.98,99.98
100000,64,12,0,21849,692,531,99.98,99.98,99.97
100000,128,24,0,21821,1032,698,99.99,99.99,99.97
100000,256,48,0,21817,1766,1047,99.98,99.98,99.97
100000,512,96,0,21747,3249,1594,100.0,100.0,99.99
